Athlete ID,Athlete Last Name,Weight(K),Age,Gender,Event Name,Event Date,Event Location,Event Country,Event Weather,Event Results,Event Rank,Event Record,event_surface,Notes,Event_Temp in C,Event_Temp in K
124,Kemp,85,35,F,3000m,9/4/20,Field B,USA,4,79.46,2,TRUE,Turf,Great athletes,29,302.15
125,Barreto,78,25,F,400m,8/26/19,Track C,Canada,1,134.71,4,FALSE,Track,Good meet,34,307.15
127,Hunter,82,26,F,400m,9/24/23,Arena D,South Korea,1,104.7,1,TRUE,Gravel,Notes List,29,302.15
128,Robertson,80,31,F,110m hurdles,2/24/22,Track C,Vietnam,5,237.43,5,TRUE,Grass,Not the best show of audience,32,305.15
129,Grubbs,68,29,F,400m,4/24/22,Track C,Brazil,5,154.85,3,FALSE,Asphalt,Food vendors need higher quality food,33,306.15
132,Montijo,77,22,F,400m,3/18/20,Field B,South Korea,4,280.88,1,FALSE,Turf,Awesome athletes,18,291.15
133,Owens,89,23,F,100m,7/13/23,Stadium A,Spain,1,17.23,1,FALSE,Grass,Food vendors need higher quality food,28,301.15
140,Pierson,82,23,F,3000m,12/7/23,Arena D,Spain,2,184.27,2,FALSE,Gravel,Awesome athletes,21,294.15
145,Solomon,79,28,F,200m,3/30/19,Field B,Brazil,5,241.89,3,FALSE,Concrete,Ran out of merchandise,30,303.15
147,Tucci,63,28,F,110m hurdles,11/11/23,Stadium A,Mexico,4,275.21,1,FALSE,Dirt,Don't use this venue,35,308.15
149,Patel,73,20,F,200m,10/19/21,Field B,USA,2,26.22,3,TRUE,Track,Good event,31,304.15
151,Pineda,75,20,F,400m hurdles,11/17/22,Field B,Canada,4,134.12,2,TRUE,Gravel,Don't use this venue,33,306.15
153,Williams,65,28,F,400m hurdles,4/20/23,Arena D,Brazil,3,148.77,3,TRUE,Dirt,Not the best show of audience,28,301.15
159,Lardizabal,65,35,F,100m,10/10/20,Field B,USA,2,165.36,3,TRUE,Grass,Awesome athletes,34,307.15
161,Walsh,62,23,F,110m hurdles,12/31/22,Track C,Spain,2,178.04,3,TRUE,Gravel,Food vendors need higher quality food,28,301.15
163,Cuthbertson,80,33,F,400m,7/30/23,Stadium A,Vietnam,4,161.62,2,TRUE,Dirt,Get the same vendors next meet ,30,303.15
166,Fitzgerald,62,26,F,1500m,6/4/19,Stadium A,India,1,69.09,4,TRUE,Sand,Great athletes,17,290.15
167,Colon,88,21,F,110m hurdles,7/17/19,Track C,Vietnam,2,107.85,1,FALSE,Turf,Need more food vendors,31,304.15
173,Clancy,84,21,F,400m hurdles,2/4/21,Arena D,Spain,2,127.06,5,TRUE,Grass,Great athletes,36,309.15
178,Anglea,90,22,F,400m,12/3/20,Track C,Mexico,5,92.93,5,TRUE,Concrete,Don't use this venue,31,304.15
179,Orick,74,33,F,1500m,11/11/21,Track C,Vietnam,4,222.78,1,TRUE,Gravel,Get the same vendors next meet ,32,305.15
181,Welsh,67,21,F,110m hurdles,6/9/19,Stadium A,China,2,40.71,3,TRUE,Track,Don't use this venue,24,297.15
184,Desanctis,85,25,F,400m hurdles,11/8/21,Field B,USA,4,155.65,1,FALSE,Concrete,Good meet,30,303.15
185,Dixon,69,27,F,100m,10/2/22,Track C,Vietnam,3,212.97,3,FALSE,Asphalt,Need more food vendors,37,310.15
190,Smith,72,30,F,800m,8/26/23,Field B,South Korea,2,91.12,1,FALSE,Dirt,Ran out of merchandise,31,304.15
193,Barrett,61,32,F,400m hurdles,7/27/21,Arena D,Canada,5,140.98,2,TRUE,Concrete,Good meet,16,289.15
196,Wooten,85,28,F,100m,3/15/22,Arena D,Vietnam,2,220.92,1,TRUE,Gravel,Need more international food,20,293.15
197,Brumleve,80,21,F,400m,7/1/23,Stadium A,South Korea,2,114.93,4,TRUE,Track,Need more international food,20,293.15
200,Banh,77,25,F,100m,5/17/23,Arena D,Vietnam,2,74.33,5,FALSE,Track,Great athletes,33,306.15
202,Godfrey,78,34,F,200m,7/7/22,Field B,UK,2,1144.04,4,TRUE,Grass,Get the same vendors next meet ,21,294.15
213,Foster,77,25,F,400m,11/30/20,Stadium A,China,1,54.89,3,FALSE,Concrete,Not the best show of audience,22,295.15
214,Dewitt,74,31,F,400m hurdles,1/16/22,Arena D,China,1,168.82,3,FALSE,Concrete,Great event,29,302.15
218,Keane,83,28,F,110m hurdles,8/25/23,Stadium A,USA,5,172.17,3,TRUE,Asphalt,Good event,24,297.15
219,Willis,64,32,F,3000m,11/16/23,Field B,Mexico,2,176.14,2,FALSE,Concrete,Need more food vendors,23,296.15
222,Heath,64,34,F,1500m,6/21/22,Arena D,South Korea,4,203.26,5,FALSE,Gravel,Good event,21,294.15
226,Gonzales,64,27,F,400m,6/28/19,Field B,Spain,4,275.06,1,TRUE,Track,Great food vendors,18,291.15
229,Liptak,90,35,F,800m,1/25/20,Track C,Spain,3,278.76,3,TRUE,Grass,Ran out of merchandise,33,306.15
232,Chen,73,20,F,100m,6/28/19,Field B,Spain,4,119.6,4,FALSE,Sand,Awesome athletes,19,292.15
233,Marsha,74,29,F,400m hurdles,12/23/20,Stadium A,Mexico,3,90.63,3,FALSE,Dirt,Food vendors need higher quality food,28,301.15
235,Monroe,83,27,F,400m hurdles,9/6/20,Stadium A,Brazil,3,220.43,4,FALSE,Concrete,Awesome athletes,24,297.15
241,Winslow,81,27,F,800m,9/27/19,Track C,UK,1,221.11,5,TRUE,Asphalt,Need more international food,20,293.15
243,Michels,76,23,F,400m,1/5/23,Arena D,India,2,172.51,1,FALSE,Grass,Not the best show of audience,16,289.15
246,Trapp,63,22,F,,1/9/23,Arena D,China,4,239.07,3,TRUE,Asphalt,Get the same vendors next meet ,32,305.15
247,Lake,80,32,F,400m hurdles,3/10/20,Field B,China,5,284.91,2,TRUE,Gravel,Get more water for the next event,17,290.15
248,Dasher,65,34,F,100m,1/28/19,Arena D,Vietnam,4,167.34,2,TRUE,Concrete,Need more food vendors,22,295.15
249,Cluff,90,30,f,400m,4/27/22,Arena D,Vietnam,3,101.18,3,FALSE,Gravel,Need more international food,25,298.15
250,Williams,63,24,F,400m,7/4/22,Track C,Spain,1,171.87,2,FALSE,Asphalt,Need another merchandise vendor,17,290.15
251,Yadao,71,25,F,200m,4/16/21,,China,2,117.42,1,TRUE,Asphalt,Great event,29,302.15
252,Humphries,67,20,F,800m,4/12/19,Field B,South Korea,4,294.05,4,,Dirt,Awesome athletes,28,301.15
254,Jarrett,73,29,F,800m,7/16/19,Field B,China,4,15.5,1,FALSE,Concrete,Food vendors need higher quality food,25,298.15
255,Hanson,83,24,F,1500m,3/1/20,Stadium A,India,2,204.58,1,TRUE,Asphalt,Get the same vendors next meet ,24,297.15
261,Ross,89,27,F,800m,12/30/23,,Vietnam,1,275.1,5,FALSE,Asphalt,Need more food vendors,31,304.15
262,Lipton,83,23,F,1500m,8/15/19,Stadium A,USA,5,27.98,3,FALSE,Turf,Great food vendors,17,290.15
263,Bridges,72,26,f,800m,9/3/19,Arena D,Canada,5,255.67,5,TRUE,Turf,Great event,34,307.15
264,Hannah,68,25,F,400m,9/6/22,Field B,UK,5,213.04,5,,Concrete,Food vendors need higher quality food,33,306.15
268,Hemenway,64,25,f,3000m,12/6/23,Field B,South Korea,2,40.98,2,TRUE,Dirt,Great event,37,310.15
269,Sims,65,26,F,800m,10/31/20,Track C,UK,3,194.85,1,TRUE,Asphalt,Need more food vendors,26,299.15
271,Carnicelli,82,22,F,200m,10/3/19,Stadium A,Mexico,5,257.57,4,FALSE,Asphalt,Awesome athletes,19,292.15
274,Grant,71,26,F,400m,4/23/21,Field B,USA,1,243.26,5,TRUE,Gravel,Need more international food,32,305.15
278,Hargrove,80,30,F,1500m,6/9/23,Arena D,USA,4,269.49,1,TRUE,Gravel,Need another merchandise vendor,29,302.15
281,Magsayo,84,31,F,800m,3/9/19,Field B,USA,5,137.85,3,TRUE,Asphalt,Good meet,24,297.15
285,Howard,90,20,F,1500m,1/23/19,Stadium A,Spain,5,254.29,2,TRUE,Asphalt,Notes List,29,302.15
287,Brunell,80,27,F,100m,8/21/19,Field B,USA,1,91.6,4,TRUE,Asphalt,Get the same vendors next meet ,31,304.15
291,Woodard,89,27,F,3000m,2/22/21,Field B,China,3,121.09,1,FALSE,Track,Good meet,24,297.15
292,Brown,68,28,F,3000m,5/18/22,Field B,India,3,21.47,2,TRUE,Asphalt,Ran out of merchandise,32,305.15
296,Deacon,69,25,F,1500m,6/26/23,Arena D,Brazil,5,286.77,3,TRUE,Gravel,Not the best show of audience,23,296.15
297,Kissler,74,23,F,110m hurdles,5/18/23,Field B,UK,2,136.35,2,FALSE,Gravel,Awesome athletes,18,291.15
302,Meehan,61,28,F,100m,6/24/20,Stadium A,Canada,2,242.86,4,TRUE,Sand,Get the same vendors next meet ,19,292.15
304,Sherman,74,22,F,110m hurdles,12/28/21,Field B,South Korea,2,34.02,5,FALSE,Concrete,Good event,36,309.15
305,Cook,89,34,F,1500m,3/29/22,Track C,India,5,260.1,2,TRUE,Sand,Need more food vendors,26,299.15
312,Gibson,79,20,F,200m,4/18/19,Field B,USA,4,82.64,5,FALSE,Concrete,Good meet,18,291.15
313,Jenkins,69,25,F,800m,5/5/19,Track C,India,4,69.45,3,FALSE,Concrete,Notes List,24,297.15
315,Frey,88,29,F,3000m,10/9/22,Stadium A,USA,4,177.96,4,TRUE,Grass,Food vendors need higher quality food,21,294.15
316,Boyer,78,35,F,400m hurdles,10/21/23,Arena D,South Korea,2,166.55,1,FALSE,Turf,Get the same vendors next meet ,25,298.15
318,Sheppard,68,32,F,400m,4/10/22,Arena D,UK,1,85.26,2,FALSE,Sand,Get the same vendors next meet ,17,290.15
320,Brown,61,20,F,200m,7/14/23,Field B,Canada,2,257.56,3,FALSE,Grass,Get more water for the next event,26,299.15
321,Flanagan,71,20,F,100m,3/21/19,Track C,Canada,2,80.28,2,TRUE,Concrete,Great food vendors,26,299.15
323,Powers,82,34,F,200m,5/4/21,Track C,South Korea,4,67.03,3,TRUE,Turf,Great event,29,302.15
324,Givens,69,23,F,400m,12/31/22,Field B,China,3,110.26,5,TRUE,Sand,Notes List,28,301.15
325,Stoller,85,24,F,800m,1/10/21,Arena D,India,3,90.32,4,TRUE,Track,Get more water for the next event,16,289.15
327,Pickett,83,27,F,400m hurdles,12/27/21,Field B,Canada,5,220.41,2,TRUE,Track,Good event,26,299.15
330,Leon,77,34,F,100m,9/17/23,Stadium A,USA,5,187.88,4,TRUE,Asphalt,Good meet,18,291.15
335,Richman,80,24,F,800m,11/14/22,Field B,Spain,1,93.81,3,FALSE,Sand,Get the same vendors next meet ,16,289.15
346,Padillo,80,25,F,100m,8/18/20,Track C,India,3,180.01,4,TRUE,Asphalt,Great event,27,300.15
348,Ito,87,21,F,100m,1/11/23,Arena D,Mexico,3,299.35,4,FALSE,Grass,Ran out of merchandise,22,295.15
350,Stevens,78,21,F,3000m,5/28/21,Stadium A,Spain,4,11.87,4,TRUE,Dirt,Not the best show of audience,23,296.15
351,Vaughan,70,24,F,100m,7/12/23,Stadium A,Mexico,2,115.95,2,TRUE,Gravel,Food vendors need higher quality food,18,291.15
355,Kilgore,67,26,F,100m,7/17/21,Track C,South Korea,5,38.75,4,FALSE,Turf,Food vendors need higher quality food,27,300.15
357,Buran,88,30,F,200m,10/25/19,Arena D,China,4,282.68,2,FALSE,Turf,Awesome athletes,27,300.15
361,Magan,62,35,F,400m hurdles,6/4/20,Field B,Vietnam,5,73.49,4,FALSE,Turf,Awesome athletes,33,306.15
364,Fitz,66,23,F,110m hurdles,6/14/20,Field B,Vietnam,3,296.38,3,TRUE,Dirt,Don't use this venue,22,295.15
376,Stavis,73,29,F,800m,4/4/19,Arena D,Vietnam,5,228.61,3,TRUE,Dirt,Awesome athletes,23,296.15
378,Roush,60,35,F,3000m,9/11/20,Stadium A,USA,5,256.68,5,TRUE,Concrete,Great food vendors,30,303.15
380,Weaver,79,24,F,1500m,11/30/22,Field B,China,4,174.1,3,FALSE,Grass,Ran out of merchandise,32,305.15
381,Harris,85,22,F,100m,9/1/19,Stadium A,Vietnam,4,276.06,1,TRUE,Track,Food vendors need higher quality food,25,298.15
387,Stegall,63,32,F,200m,7/21/20,Field B,India,1,176.58,5,TRUE,Concrete,Need another merchandise vendor,19,292.15
388,Friedmann,64,31,F,200m,6/28/23,Field B,Canada,2,41.36,2,FALSE,Gravel,Not the best show of audience,23,296.15
391,York,75,21,F,800m,12/27/20,Field B,South Korea,4,255.73,4,TRUE,Asphalt,Awesome athletes,34,307.15
394,Brooks,66,34,F,400m,4/5/22,Arena D,Mexico,3,21.88,1,FALSE,Dirt,Get more water for the next event,33,306.15
396,Staggs,78,31,F,800m,7/4/22,Track C,Brazil,1,237.49,1,TRUE,Grass,Need more food vendors,29,302.15
402,Goldston,72,31,F,1500m,6/23/23,Track C,Mexico,4,134.73,2,TRUE,Gravel,Notes List,19,292.15
403,Calvert,78,26,F,100m,12/21/19,Field B,Vietnam,3,232.23,1,TRUE,Sand,Need another merchandise vendor,27,300.15
404,Dunphy,78,33,F,800m,9/24/23,Stadium A,India,2,237.15,2,TRUE,Turf,Notes List,26,299.15
406,Currey,86,29,F,800m,12/10/23,Field B,Mexico,1,153.24,2,FALSE,Track,Get more water for the next event,18,291.15
409,Valera,81,28,F,110m hurdles,8/14/19,Field B,Spain,5,172.71,1,FALSE,Turf,Good event,21,294.15
410,Healy,65,29,F,110m hurdles,3/13/20,Stadium A,Spain,2,202.82,4,FALSE,Grass,Get the same vendors next meet ,37,310.15
413,Skinner,72,33,F,400m hurdles,6/11/19,Field B,Brazil,4,266.92,4,TRUE,Track,Get the same vendors next meet ,20,293.15
419,Gonzalez,61,26,F,400m hurdles,10/17/21,Stadium A,China,4,28.66,2,TRUE,Gravel,Great event,32,305.15
420,Ellis,66,21,F,3000m,6/5/21,Arena D,UK,3,82.14,2,TRUE,Gravel,Awesome athletes,35,308.15
423,Smith,67,26,F,110m hurdles,11/17/19,Field B,Mexico,5,183.74,2,FALSE,Sand,Awesome athletes,29,302.15
425,Lanzi,87,22,F,3000m,6/29/21,Arena D,India,5,48.42,5,FALSE,Concrete,Notes List,22,295.15
430,Hawkins,74,29,F,200m,4/27/22,Field B,UK,5,286.68,4,TRUE,Grass,Don't use this venue,34,307.15
431,Mccarley,85,27,F,200m,10/11/21,Field B,South Korea,2,73.75,4,TRUE,Track,Great food vendors,36,309.15
434,Henry,79,21,F,400m,9/29/22,Arena D,USA,1,38.99,1,TRUE,Turf,Awesome athletes,32,305.15
437,Blankenship,73,29,F,110m hurdles,8/28/19,Field B,India,4,87.12,1,TRUE,Asphalt,Need more food vendors,28,301.15
438,Flick,73,30,F,800m,5/23/19,Track C,Canada,4,169.98,4,TRUE,Dirt,Good event,21,294.15
440,Yoon,84,24,F,100m,3/1/22,Track C,UK,5,29.97,1,TRUE,Concrete,Get the same vendors next meet ,31,304.15
442,Wickersham,86,21,F,3000m,2/9/22,Track C,Spain,5,253.23,3,FALSE,Track,Food vendors need higher quality food,17,290.15
443,Hancock,65,26,F,400m,6/2/20,Stadium A,South Korea,2,167.06,5,FALSE,Sand,Great athletes,33,306.15
444,Julien,67,26,F,400m,1/6/19,Arena D,South Korea,3,202.97,2,TRUE,Asphalt,Get the same vendors next meet ,36,309.15
447,Robinson,62,26,F,400m hurdles,11/1/23,Arena D,Mexico,3,181.67,3,TRUE,Turf,Good meet,25,298.15
448,Graham,85,20,F,200m,12/21/23,Stadium A,Vietnam,1,178.05,5,FALSE,Track,Need more food vendors,26,299.15
452,Lee,85,24,F,100m,10/5/20,Stadium A,Spain,1,27.99,4,TRUE,Asphalt,Get more water for the next event,27,300.15
453,Stewart,65,33,F,3000m,2/18/19,Track C,Canada,2,223.88,4,NONE,Turf,Notes List,35,308.15
454,Lederman,63,28,F,1500m,1/2/20,Field B,China,4,204.1,5,NONE,Turf,Great food vendors,23,296.15
462,Boone,81,26,F,1500m,10/18/23,Arena D,UK,1,146.85,5,NONE,Concrete,Ran out of merchandise,24,297.15
463,Wineman,88,35,F,800m,10/7/21,Stadium A,Canada,2,286.45,1,NONE,Asphalt,Get more water for the next event,37,310.15
464,Farmer,77,24,F,1500m,3/6/19,Arena D,Mexico,4,54.4,3,NONE,Turf,Need more food vendors,30,303.15
466,Shanahan,82,23,F,800m,2/23/22,Field B,Brazil,2,248.91,2,NONE,Dirt,Don't use this venue,34,307.15
470,Harris,85,29,F,200m,2/20/22,Track C,USA,4,123.67,3,NONE,Asphalt,Food vendors need higher quality food,37,310.15
471,Casiano,72,25,F,110m hurdles,12/21/23,Track C,China,3,149.79,1,NONE,Gravel,Not the best show of audience,21,294.15
472,Conteh,63,29,F,100m,3/30/20,Track C,USA,5,72.51,1,NONE,Sand,Notes List,37,310.15
474,Edwards,79,27,F,200m,8/27/23,Field B,Vietnam,5,160.94,4,NONE,Gravel,Great event,23,296.15
482,Bryant,69,33,F,800m,10/26/23,Arena D,Vietnam,4,118.94,4,NONE,Track,Good meet,25,298.15
487,Wiersteiner,83,29,F,400m,1/7/23,Arena D,Vietnam,3,217.1,1,NONE,Sand,Good meet,23,296.15
489,Kiper,64,20,F,200m,6/27/21,Stadium A,China,3,226.5,5,NONE,Asphalt,Good meet,17,290.15
494,Jarrell,77,26,F,800m,6/27/22,Arena D,Mexico,3,25.02,4,NONE,Dirt,Notes List,37,310.15
497,Dominguez,77,28,F,100m,1/18/19,Field B,Spain,2,185.5,4,NONE,Gravel,Great event,28,301.15
500,Hubbs,61,29,F,200m,7/17/23,Stadium A,UK,1,113.65,2,NONE,Grass,Great athletes,30,303.15
502,Garner,64,25,F,200m,12/28/21,Arena D,USA,2,36.89,2,NONE,Track,Need more international food,16,289.15
505,Lusk,79,33,F,100m,2/2/22,Field B,USA,1,193.48,2,NONE,Grass,Need another merchandise vendor,34,307.15
509,Diefenbach,75,21,F,3000m,2/24/19,Track C,UK,2,62.36,1,NONE,Grass,Great event,27,300.15
511,Witek,77,34,F,400m,4/15/19,Stadium A,UK,4,257.28,2,NONE,Gravel,Need more international food,16,289.15
514,Campos,84,32,F,1500m,10/2/20,Arena D,Canada,5,48.14,1,NONE,Asphalt,Get the same vendors next meet ,30,303.15
515,Jefferson,64,32,F,100m,12/9/21,Field B,Brazil,4,72.61,2,NONE,Dirt,Don't use this venue,18,291.15
517,Whitaker,86,27,F,110m hurdles,8/11/19,Stadium A,USA,5,129.24,3,NONE,Turf,Awesome athletes,25,298.15
519,Colburn,63,26,F,400m,8/4/19,Field B,Brazil,3,151.38,3,NONE,Grass,Great event,23,296.15
520,Turner,71,32,F,400m,8/24/20,Field B,Canada,4,64.16,2,NONE,Gravel,Great food vendors,29,302.15
524,Furman,64,35,F,1500m,11/4/21,Stadium A,Brazil,1,137.72,4,FALSE,Asphalt,Great athletes,20,293.15
525,Chapman,86,20,F,400m,11/6/20,Stadium A,Brazil,5,114.42,3,FALSE,Turf,Don't use this venue,17,290.15
530,Brei,71,20,F,1500m,5/13/20,Stadium A,India,5,236.68,4,FALSE,Concrete,Great athletes,30,303.15
531,Richardson,82,25,F,100m,1/1/20,Track C,Spain,1,238.15,4,FALSE,Track,Notes List,20,293.15
532,Christian,87,21,F,800m,4/2/20,Field B,India,4,256.02,3,TRUE,Turf,Great event,18,291.15
536,Billings,60,21,F,3000m,11/5/21,Track C,USA,3,139.77,4,FALSE,Sand,Need more international food,37,310.15
538,Johnson,60,27,F,100m,1/24/21,Arena D,Brazil,3,195.47,1,TRUE,Gravel,Food vendors need higher quality food,28,301.15
544,Mack,83,32,F,200m,9/19/19,Stadium A,Mexico,2,17.48,2,FALSE,Grass,Awesome athletes,32,305.15
550,Martin,60,28,F,1500m,10/12/19,Arena D,UK,1,267.42,4,FALSE,Sand,Awesome athletes,36,309.15
557,William,68,23,F,800m,3/1/19,Stadium A,Brazil,4,67.55,1,TRUE,Asphalt,Good event,22,295.15
558,Reid,75,21,F,110m hurdles,5/3/22,Stadium A,Canada,2,185.53,4,FALSE,Concrete,Great athletes,19,292.15
564,Kister,71,29,F,400m hurdles,7/31/19,Stadium A,India,3,298.59,4,TRUE,Concrete,Need another merchandise vendor,18,291.15
566,Bradley,85,32,F,800m,5/24/22,Track C,Brazil,2,220.99,2,FALSE,Grass,Awesome athletes,29,302.15
567,Thompson,60,23,F,400m hurdles,10/2/23,Arena D,Spain,1,230.89,1,TRUE,Sand,Need more international food,29,302.15
569,Johnson,73,25,F,100m,3/13/22,Arena D,India,2,57.59,2,FALSE,Grass,Food vendors need higher quality food,28,301.15
571,Bolds,65,34,F,400m,9/28/22,Stadium A,Canada,2,141.51,3,TRUE,Sand,Ran out of merchandise,35,308.15
574,Sauve,64,28,F,200m,11/1/20,Field B,Canada,3,160.43,4,FALSE,Grass,Great athletes,31,304.15
579,Davies,63,25,F,110m hurdles,12/13/22,Arena D,Spain,4,106.73,4,FALSE,Sand,Awesome athletes,35,308.15
580,Cottone,77,29,F,800m,10/4/20,Field B,Brazil,5,51.76,1,TRUE,Sand,Not the best show of audience,37,310.15
582,Smith,79,34,F,110m hurdles,2/17/21,Field B,Vietnam,1,115.4,1,FALSE,Dirt,Need another merchandise vendor,20,293.15
586,Hutchinson,73,25,F,110m hurdles,10/12/19,Field B,Vietnam,1,51.03,1,TRUE,Dirt,Need more international food,36,309.15
593,Trevino,66,25,F,400m hurdles,12/21/21,Arena D,Vietnam,3,233.42,3,FALSE,Track,Get the same vendors next meet ,33,306.15
598,Flick,65,35,F,800m,7/31/19,Stadium A,China,3,274.89,2,TRUE,Gravel,Need more food vendors,25,298.15
600,Holloway,71,24,F,3000m,3/25/23,Track C,South Korea,2,206.98,4,TRUE,Dirt,Great event,30,303.15
602,Dale,87,25,F,100m,11/26/23,Track C,UK,2,42.41,5,FALSE,Turf,Great event,21,294.15
605,Young,76,24,F,100m,9/6/23,Arena D,China,2,63.85,3,TRUE,Asphalt,Great athletes,30,303.15
610,Cox,84,24,F,110m hurdles,12/10/22,Track C,USA,2,222.48,5,FALSE,Dirt,Great event,20,293.15
613,Mccabe,88,21,F,800m,1/16/23,Track C,Vietnam,1,15.03,1,FALSE,Asphalt,Great food vendors,35,308.15
614,Ramos,88,20,F,800m,9/28/19,Arena D,UK,3,215.64,1,TRUE,Concrete,Great event,24,297.15
616,Knight,63,31,F,400m hurdles,8/2/21,Arena D,Vietnam,1,159.28,3,TRUE,Gravel,Great food vendors,35,308.15
619,Smith,70,35,F,400m hurdles,7/24/22,Field B,UK,2,129.9,1,FALSE,Gravel,Good meet,20,293.15
621,Partin,81,23,F,400m hurdles,6/7/19,Stadium A,UK,5,224.12,4,TRUE,Concrete,Need more food vendors,26,299.15
623,Green,68,34,F,400m hurdles,6/18/20,Stadium A,Spain,3,37.58,2,TRUE,Sand,Don't use this venue,33,306.15
625,Beckley,81,28,F,800m,9/1/20,Stadium A,China,3,142.2,4,TRUE,Sand,Food vendors need higher quality food,23,296.15
