,UNITID,INSTNM,IALIAS,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,EIN,UEIS,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,VETURL,ATHURL,DISAURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,INSTCAT,C21BASIC,C21IPUG,C21IPGRD,C21UGPRF,C21ENPRF,C21SZSET,C18BASIC,C15BASIC,CCBASIC,CARNEGIE,LANDGRNT,INSTSIZE,F1SYSTYP,F1SYSNAM,F1SYSCOD,CBSA,CBSATYPE,CSA,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE,DFRCGID,DFRCUSCG
10,100858,Auburn University, , ,Auburn,AL,36849,1,5,Chris Roberts,President,3348444000,636000724,DMQNDJDHTDG4,00100900,1,www.auburn.edu/,www.auburn.edu/admissions/,www.auburn.edu/administration/business-finance/finaid/,www.auburn.edu/admissions/,https://www.auburn.edu/admissions/costcalc/freshman.html,veterans.auburn.edu/,https://auburn.edu/administration/ir/factbook/retention-performance/athlete-graduation-rates.html,cws.auburn.edu/accessibility,1,1,1,9,1,1,11,1,2,2,1,2,13,1,A ,-2,-2,-2,1,1,1,1,1,2,15,17,14,14,4,15,15,16,16,15,1,5,1,Auburn University,101040,12220,1,194,1081,Lee County,103,-85.488258,32.599378,91,1
11,100937,Birmingham-Southern College,BSC,900 Arkadelphia Road,Birmingham,AL,35254,1,5,Mr. Daniel Coleman,President,2052264600,630708730,L9NKL7V8CKY5,00101200,1,www.bsc.edu/,www.bsc.edu/admission/index.html,https://www.bsc.edu/fp/index.html,https://www.bsc.edu/admission/apply.html,www.bsc.edu/fp/np-calculator.cfm,https://www.bsc.edu/fp/veterans.html,https://www.bsc.edu/ire/student-consumer-information.html,https://www.bsc.edu/campus/accomodations/index.html,2,1,2,5,1,2,30,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,21,9,0,12,2,11,21,21,21,31,2,1,2,-2,-2,13820,1,142,1073,Jefferson County,107,-86.850552,33.513774,132,1
12,101028,Chattahoochee Valley Community College,CVCC,2602 College Drive,Phenix City,AL,36869,1,5,Jacqueline Screws,President,3342914900,630657380,MEKHN5CB73Z3,01218200,1,https://www.cv.edu/,https://www.cv.edu/apply/,https://www.cv.edu/financial-aid/,https://chattahoocheevalley.force.com/apply/TX_SiteLogin?startURL=%2Fapply%2FTargetX_Portal__PB,https://external.cv.edu/npc/index.html,https://www.cv.edu/veterans-information/veterans-benefits/,https://www.cv.edu/about/consumer-information/,https://www.cv.edu/student-resources/ada/,4,2,1,3,1,2,40,1,2,-2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1,4,4,2,0,2,1,2,1,1,2,40,2,2,1,Alabama Community College System,101030,17980,1,194,1113,Russell County,103,-85.031485,32.42391,70,2
13,101116,South University-Montgomery, ,5355 Vaughn Rd,Montgomery,AL,36116,1,5,Kandis R. Steele,Dean of Academic Affairs and Retention,3343958800,630314610,YJAHL2YJ7WS1,01303906,1,www.southuniversity.edu/,www.southuniversity.edu/admissions,www.southuniversity.edu/admissions/financial-aid,www.southuniversity.edu/admissions/admission-info/applying,www.southuniversity.edu/montgomery/net-price-calculator,www.southuniversity.edu/Admissions/Military/military-faqs, ,www.southuniversity.edu/~/media/Files/SCI-Pages/disability-services-su.pdf,3,1,3,9,1,1,13,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,22,20,7,7,4,6,20,22,23,40,2,1,1,South University - Member LLC,301555,33860,1,388,1101,Montgomery County,102,-86.216488,32.342684,199,1
14,101143,Enterprise State Community College,Enterprise-Ozark Community College   Enterprise State Junior College,600 Plaza Drive,Enterprise,AL,36330-1300,1,5,Danny Long,President,3343472623,630504851,CDVSG3NKJ1D7,00101500,1,www.escc.edu/,https://www.escc.edu/admissions/,www.escc.edu/admissions/financial-aid-admissions/,https://www.escc.edu/admissions/,https://www.escc.edu/netprice/npcalc.htm,https://www.escc.edu/admissions/financial-aid-admissions/,www.escc.edu/consumer-information/,www.escc.edu/,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,4,2,1,0,2,1,2,5,8,2,40,2,2,1,Alabama Community College System,101030,21460,2,-2,1031,Coffee County,102,-85.836956,31.297496,64,2
15,101161,Coastal Alabama Community College, ,1900 U S Highway 31 South,Bay Minette,AL,36507-2698,1,5,Craig Pouncey,President,2515802100,630501805,JK46KBHMQGE5,00106000,1,www.coastalalabama.edu/,www.coastalalabama.edu/apply/,www.coastalalabama.edu/financial_aid/,www.coastalalabama.edu/apply/,www.coastalalabama.edu/about/consumer_information/net_price_calculator/,www.coastalalabama.edu/veterans/,www.coastalalabama.edu/catalog.student-right-to-know,www.coastalalabama.edu/,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,4,4,2,0,2,1,3,5,1,5,40,2,3,1,Alabama Community College System,101030,19300,1,380,1003,Baldwin County,101,-87.778193,30.851343,68,1
16,101189,Faulkner University,Faulkner,5345 Atlanta Hwy,Montgomery,AL,36109-3390,1,5,Mitch Henry,President,3342725820,630329409,X4N7WEDBEKK4,00100300,1,www.faulkner.edu/,www.faulkner.edu/undergrad/admissions/,www.faulkner.edu/undergrad/tuition-financial-aid/,applynow.myfaulkner.org/inquiryform,www.faulkner.edu/net-price-calculator/,www.faulkner.edu/graduate/military-and-veterans-services-2/,https://www.faulkner.edu/undergrad/tuition-financial-aid/financial-aid-policies/student-rights-and-responsibilities/,https://www.faulkner.edu/undergrad/student-life/living-on-campus/student-services/center-for-disability-services/,2,1,2,9,1,1,11,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,18,19,16,7,5,10,19,20,22,32,2,2,2,-2,-2,33860,1,388,1101,Montgomery County,102,-86.21641,32.384181,111,2
17,101240,Gadsden State Community College,GSCC | Gadsden State | Gadsden Community College,1001 George Wallace Dr,Gadsden,AL,35903,1,5,Dr. Kathy L. Murphy,President,2565498200,630501425,F52PB51ZU3T4,00101700,1,www.gadsdenstate.edu/,www.gadsdenstate.edu/admissions-aid/welcome.cms,www.gadsdenstate.edu/admissions-aid/financial-aid.cms,https://www.gadsdenstate.edu/admissions-aid/apply.cms,www.gadsdenstate.edu/admissions-aid/net-price-calculator.cms,www.gadsdenstate.edu/admissions-aid/veterans-benefits.cms,https://www.gadsdenstate.edu/skins/userfiles/files/Student Right to Know Athletics 2021.pdf,www.gadsdenstate.edu/students/ada.cms,4,2,1,3,1,2,40,1,1,-2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1,4,7,3,0,2,1,3,7,8,3,40,2,2,1,Alabama Community College System,101030,23460,1,-2,1055,Etowah County,104,-85.991438,33.994001,77,2
18,101277,New Beginning College of Cosmetology, ,421 Martling Road,Albertville,AL,35951,1,5,Amanda Baugh,DIRECTOR,2568786430,202711032, ,04187200,1,www.nbccosmetology.com/, , , ,nbccosmetology.com/wp-content/themes/nbc/nbc_zonemap/, , ,www.nbccosmetology.com/,9,3,3,2,1,2,0,2,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,-2,-2,10700,2,-2,1095,Marshall County,104,-86.196931,34.27871,35,1
19,101286,George C Wallace Community College-Dothan,WALLACE DOTHAN|WCCD,1141 Wallace Drive,Dothan,AL,36303-9234,1,5,Linda C Young,President,3349833521,630507618,RSMDGHDC3DC6,00101800,1,www.wallace.edu/,www.wallace.edu/admissions/,www.wallace.edu/financial-aid/,www.wallace.edu/admissions/,www.wallace.edu/npcalc/,www.wallace.edu/veterans-affairs/,www.wallace.edu/about/consumer-information/,www.wallace.edu/campus-life-resources/disability-support-services/,4,2,1,3,1,2,40,1,2,-2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1,4,7,3,0,1,1,3,7,7,2,40,2,2,1,Alabama Community College System,101030,37120,2,222,1045,Dale County,102,-85.465836,31.315274,77,2
20,101295,George C Wallace State Community College-Hanceville,Wallace State Community College Wallace State - Hanceville,801 Main St NW,Hanceville,AL,35077-2000,1,5,Vicki P. Karolewics,President,2563528000,630498828,WM9JND4S9LC5,00787100,1,https://www.wallacestate.edu/,https://www.wallacestate.edu/admissions/index.html,https://www.wallacestate.edu/financial-aid/index.html,https://www.wallacestate.edu/register-now/index.html,https://www.wallacestate.edu/financial-aid/net-price-calculator.html,https://www.wallacestate.edu/financial-aid/veterans-affairs.html,https://www.wallacestate.edu/consumer-information.html,https://www.wallacestate.edu/non-discrimination/,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,4,7,3,0,2,1,3,7,7,2,40,2,3,1,Alabama Community College System,101030,18980,2,142,1043,Cullman County,104,-86.781935,34.072439,77,1
21,101301,George C Wallace State Community College-Selma,Wallace Community College Selma,3000 Earl Goodwin Parkway,Selma,AL,36702-2808,1,5,Dr. James M. Mitchell,President,3348769227,630600375,JEYJLCR37MH6,00569900,1,https://www.wccs.edu/,https://www.wccs.edu/admissions/student-admissions,https://www.wccs.edu/financial-aid,https://www.wccs.edu/apply,https://www.wccs.edu/financial-aid/netprice-calculator,https://www.wccs.edu/programs/student-success-coaches/veterans-affairs, ,https://www.wccs.edu/about/consumer-student-information,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,4,5,2,0,1,1,2,5,9,2,40,2,2,1,Alabama Community College System,101030,42820,2,388,1047,Dallas County,107,-87.013294,32.445917,73,2
22,101365,Herzing University-Birmingham, ,280 West Valley Ave,Birmingham,AL,35209,1,5,Sarah Higgins,President,2059162800,271503981,JDF5MPY3N5T3,00962107,1,https://www.herzing.edu/,https://www.herzing.edu/,https://www.herzing.edu/,https://www.herzing.edu/,https://www.herzing.edu/tuition-financial-aid/net-price-calculator,https://www.herzing.edu/tuition-financial-aid/types-financial-aid/military-veteran-benefits, ,https://www.herzing.edu/services-disabled-students,2,1,2,8,1,1,20,1,2,2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1,3,26,19,2,5,3,6,23,23,22,40,2,1,1,"Herzing University, LTD.",200655,13820,1,142,1073,Jefferson County,107,-86.832465,33.468466,159,2
23,101435,Huntingdon College, ,1500 East Fairview Avenue,Montgomery,AL,36106-2148,1,5,J. Cameron West,President,3348334497,630288841,MACKQAP6KNW6,00101900,1,www.huntingdon.edu/,www.huntingdon.edu/admission-aid/,www.huntingdon.edu/admission-aid/student-financial-services/,www.huntingdon.edu/admission-aid/traditional-admission/,www.huntingdon.edu/admission-aid/student-financial-services/net-price-calculator/, , ,www.huntingdon.edu/academics/academic-resources/disability-services/,2,1,2,7,1,1,20,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,22,15,0,10,2,8,22,22,22,31,2,1,2,-2,-2,33860,1,388,1101,Montgomery County,102,-86.284366,32.351034,138,1
24,101453,Heritage Christian University, ,3625 Helton Dr,Florence,AL,35630-9977,1,5,W. Kirk Brothers,President,2567666610,237013287,MYJFHUU6FSH4,02199700,1,www.hcu.edu/,www.hcu.edu/admissions/,www.hcu.edu/admission-aid/financial-aid/,www.hcu.edu/admissions/apply-now/,www.hcu.edu/netpricecalculator/,www.hcu.edu/admissions/financial-aid/veterans/, ,www.hcu.edu/consumer-information/,2,1,2,7,1,1,20,1,2,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1,2,24,18,3,5,5,6,24,24,24,51,2,1,2,-2,-2,22520,1,-2,1077,Lauderdale County,105,-87.663051,34.856153,145,1
25,101462,J. F. Drake State Community and Technical College,Drake State,3421 Meridian St N,Huntsville,AL,35811,1,5,Dr. Patricia Sims,President,2565398161,630439942,Y6RMRVLNFZK1,00526000,1,https://www.drakestate.edu/,https://www.drakestate.edu/admissions,https://www.drakestate.edu/admissions/financial-aid,https://drakestate.force.com/apply/TX_SiteLogin?startURL=%2Fapply%2FTargetX_Portal__PB,https://www.drakestate.edu/NetPriceCalculator.html,https://www.drakestate.edu/current-students/veteran-and-military-affairs/faqs#How to apply 03, ,https://www.drakestate.edu/current-students/disability-support-services,4,2,1,3,1,2,40,1,1,-2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,4,8,3,0,1,1,1,7,9,1,40,2,1,1,Alabama Community College System,101030,26620,1,290,1089,Madison County,105,-86.572885,34.771858,82,1
26,101471,J F Ingram State Technical College,ISTC,5375 Ingram Rd,Deatsville,AL,36022,1,5,Annette Funderburk,President,33428551773249,630506768, ,03002500,1,www.istc.edu/, , , ,istc.edu/NetPrice/, , ,www.istc.edu/,4,2,1,3,1,2,40,1,2,-2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1,4,-2,-2,-2,-2,-2,-2,-2,8,1,40,2,1,1,Alabama Community College System,101030,33860,1,388,1051,Elmore County,102,-86.392369,32.582312,173,2
27,101480,Jacksonville State University, ,700 Pelham Road North,Jacksonville,AL,36265,1,5,Don Killingsworth,President,2567825781,636001099,D7N5GMCLAMT8,00102000,1,www.jsu.edu/,www.jsu.edu/admissions/,www.jsu.edu/finaid/,www.jsu.edu/undergraduate/apply/index.html,www.jsu.edu/finaid/,www.jsu.edu/post-trad/index.html,www.jsugamecocksports.com/sports/2008/6/2/Compliance.aspx?tab=compliance,www.jsu.edu/dss/,1,1,1,9,1,1,11,1,2,2,2,2,23,1,A ,-2,-2,-2,1,1,1,1,1,2,18,16,4,11,4,13,18,18,18,21,2,3,2,-2,-2,11500,1,-2,1015,Calhoun County,103,-85.765321,33.822938,105,2
28,101505,Jefferson State Community College,Jeff State | JSCC | Jefferson State,2601 Carson Rd,Birmingham,AL,35215-3098,1,5,Keith Brown,President,2058531200,630501357,V5LPAH7EBJK1,00102200,1,www.jeffersonstate.edu/,www.jeffersonstate.edu/become-a-student/,www.jeffersonstate.edu/financial-aid/,www.jeffersonstate.edu/admissions/application-types-2/,www.jeffersonstate.edu/financial-aid/net-price-calculator/,www.jeffersonstate.edu/financial/veterans/, ,https://library.jeffersonstate.edu/ADA,4,2,1,3,1,2,40,1,2,-2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,4,8,3,0,1,1,3,8,5,7,40,2,3,1,Alabama Community College System,101030,13820,1,142,1073,Jefferson County,106,-86.707233,33.652535,80,1
29,101514,John C Calhoun State Community College,Calhoun Community College,6250 U S Highway 31 N,Tanner,AL,35671,1,5,Dr. Jimmy Hodges,President,2563062500,630505871,ZTVHKDEBJ1Y5,00101300,1,https://calhoun.edu/,https://calhoun.edu/student-services/calhoun-admissions-records/,https://calhoun.edu/student-services/financial-aid/,https://calhoun.edu/student-services/calhoun-admissions-records/5-simple-steps/,https://calhoun.edu/student-services/financial-aid/net-price-calculator/,https://calhoun.edu/student-services/financial-aid/veterans-benefits/,https://calhoun.edu/overview/consumer-information/,https://calhoun.edu/student-services/student-disability-services/,4,2,1,3,1,2,40,1,2,-2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1,4,5,2,0,1,1,3,2,5,3,40,2,3,1,Alabama Community College System,101030,26620,1,290,1083,Limestone County,105,-86.949674,34.645844,71,1
30,101569,Lawson State Community College, ,3060 Wilson Rd SW,Birmingham,AL,35221-1717,1,5,Dr. Cynthia Anthony,President,2059252515,630641064,MNM8WLBH5DZ5,00105900,1,www.lawsonstate.edu/,www.lawsonstate.edu/admissions_records.aspx,www.lawsonstate.edu/financial_aid.aspx,www.lawsonstate.edu/admissions_records/admissions_information/admission_procedures_for_all_students.aspx,www.lawsonstate.edu/disclosure_and_consumer_information/general_institutional_information/net_price_calculator.aspx,www.lawsonstate.edu/financial_aid/getting_started/veterans_benefits.aspx, ,www.lawsonstate.edu/student_services/disability_services_ada.aspx,4,2,1,3,1,2,40,1,1,-2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,4,4,2,0,2,1,2,4,5,7,40,2,2,1,Alabama Community College System,101030,13820,1,142,1073,Jefferson County,107,-86.888844,33.450814,69,1
31,101587,University of West Alabama,UWA,Station One,Livingston,AL,35470,1,5,Dr. Ken Tucker,President,2056523400,636001100,NYQJM58LU2K3,00102400,1,www.uwa.edu/,www.uwa.edu/Admissions/,https://www.uwa.edu/admissions/undergraduate/financialaid,https://www.uwa.edu/apply,secure.uwa.edu/calculator/, ,https://catalog.uwa.edu/content.php?catoid=35&navoid=1581&hl=Student+Right+to+Know&returnto=search,https://www.uwa.edu/americandisabilityact,1,1,1,9,1,1,12,1,2,2,2,2,43,1,A ,-2,-2,-2,1,1,1,1,1,2,18,13,4,7,6,13,18,18,18,21,2,3,2,-2,-2,-2,-2,-2,1119,Sumter County,107,-88.186329,32.588132,107,1
32,101602,Lurleen B Wallace Community College,"Lurleen B. Wallace Community College, LBW Community College, LBWCC",1000 Dannelly Blvd.,Andalusia,AL,36420-1224,1,5,Brock Kelley,President,3342226591,630576487,NHKJF3AVCA36,00898800,1,https://www.lbwcc.edu/,https://www.lbwcc.edu/future-students/admissions,https://www.lbwcc.edu/future-students/financial-aid,https://lbwallace.force.com/apply/TX_SiteLogin?startURL=%2Fapply%2FTargetX_Portal__PB,https://www.lbwcc.edu/future-students/financial-aid/net-price-calculator,www.lbwcc.edu/future-students/financial-aid/veteran-affairs,www.lbwcc.edu/footer-links/consumer-information,www.lbwcc.edu/current-students/disability-accommodations,4,2,1,3,1,2,40,1,2,-2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1,4,5,2,0,2,1,2,5,7,1,40,2,2,1,Alabama Community College System,101030,-2,-2,-2,1039,Covington County,102,-86.452262,31.322947,73,1
33,101648,Marion Military Institute, ,1101 Washington St,Marion,AL,36756-3207,1,5,Col David J. Mollahan,President,8006641842,630288853,N9B8NCG34C13,00102600,1,www.marionmilitary.edu/,www.marionmilitary.edu/admissions/,marionmilitary.edu/admissions/financial-aid/,marionmilitary.force.com/apply/TX_SiteLogin?startURL=%2Fapply%2FTargetX_Portal__PB,marionmilitary.edu/calculator/,https://marionmilitary.edu/veterans-benefits/,marionmilitary.edu/about-mmi/consumer-info/,marionmilitary.edu/request-for-accomodations/,4,2,1,3,1,2,40,1,2,-2,2,2,43,1,A ,-2,-2,-2,1,1,1,1,1,4,1,1,0,4,1,1,1,1,1,40,2,1,1,Alabama Community College System,101030,-2,-2,-2,1105,Perry County,107,-87.322041,32.623734,61,2
34,101675,Miles College, ,5500 Myron Massey Blvd,Fairfield,AL,35064-2621,1,5,Bobbie Knight,President,20592910001645,630400608,MNKCCLJFC3L7,00102800,1,www.miles.edu/,https://www.miles.edu/admissions-and-enrollment,https://www.miles.edu/office-financial-aid,https://myexperience.miles.edu/register.asp,https://miles.studentaidcalculator.com/survey.aspx,www.miles.edu/office-financial-aid#chapter=chapter-5226-Student-Financial-Assistance-Programs-Veterans-Affairs-and-More,milesgoldenbears.com/documents/2022/8/27/institutionreport-1.pdf,https://www.miles.edu/office-disability-services#chapter=chapter-5696-Contact-Us,2,1,2,5,1,2,30,1,1,2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1,2,22,15,0,10,2,11,22,22,22,32,2,2,2,-2,-2,13820,1,142,1073,Jefferson County,107,-86.908751,33.482442,136,1
